,ITEMNO,DESC1,DESC2,SEARCHTEXT,STOCKINGTYPE,TYPECONVERSION,ITEMCONVERTI,DESC1_1,DESC2_1,SEARCHTEXT_1,STOCKINGTYPE_1
7427,24100006                 ,HEX.HD.CAP SCREW              ,"1/4-20UNC X 3.000""            ",ZINC PLATED [GR.5]            ,B,2,185596                   ,HEX.HD.CAP SCREW              ,M6-1.00 X 75MM                ,ZINC PLATED [CL8.8]           ,B
7428,24100006                 ,HEX.HD.CAP SCREW              ,"1/4-20UNC X 3.000""            ",ZINC PLATED [GR.5]            ,B,3,117621                   ,HEX.HD.CAP SCREW              ,"1/4-20UNC X 3.000""            ",[SS.304]                      ,P
7429,24100006                 ,HEX.HD.CAP SCREW              ,"1/4-20UNC X 3.000""            ",ZINC PLATED [GR.5]            ,B,4,118570                   ,HEX.HD.CAP SCREW              ,M6-1.00 X 75MM                ,[SS.304]                      ,P
7433,24100007                 ,HEX.HD.CAP SCREW              ,"5/16-18UNC X 0.750""           ",ZINC PLATED [GR.5]            ,B,2,24101199                 ,HEX.HD.CAP SCREW              ,M8-1.25 X 20MM                ,ZINC PLATED [CL8.8]           ,B
7434,24100007                 ,HEX.HD.CAP SCREW              ,"5/16-18UNC X 0.750""           ",ZINC PLATED [GR.5]            ,B,3,24102726                 ,HEX.HD.CAP SCREW              ,"5/16-18UNC X 0.750""           ",[SS.304]                      ,P
7435,24100007                 ,HEX.HD.CAP SCREW              ,"5/16-18UNC X 0.750""           ",ZINC PLATED [GR.5]            ,B,4,24104785                 ,HEX.HD.CAP SCREW              ,M8-1.25 X 20MM                ,[SS.304]                      ,P
7437,24100007                 ,HEX.HD.CAP SCREW              ,"5/16-18UNC X 0.750""           ",ZINC PLATED [GR.5]            ,B,6,182669                   ,HEX.HD.CAP SCREW              ,M8-1.25 X 20MM                ,[SS.316]                      ,P
7439,24100008                 ,HEX.HD.CAP SCREW              ,"5/16-18UNC X 1.000""           ",ZINC PLATED [GR.5]            ,B,2,24101200                 ,HEX.HD.CAP SCREW              ,M8-1.25 X 25MM                ,ZINC PLATED [CL8.8]           ,B
7440,24100008                 ,HEX.HD.CAP SCREW              ,"5/16-18UNC X 1.000""           ",ZINC PLATED [GR.5]            ,B,3,24103200                 ,HEX.HD.CAP SCREW              ,"5/16-18UNC X 1.000""           ",[SS.304]                      ,P
7441,24100008                 ,HEX.HD.CAP SCREW              ,"5/16-18UNC X 1.000""           ",ZINC PLATED [GR.5]            ,B,4,24104773                 ,HEX.HD.CAP SCREW              ,M8-1.25 X 25MM                ,[SS.304]                      ,P
7443,24100008                 ,HEX.HD.CAP SCREW              ,"5/16-18UNC X 1.000""           ",ZINC PLATED [GR.5]            ,B,6,182670                   ,HEX.HD.CAP SCREW              ,M8-1.25 X 25MM                ,[SS.316]                      ,P
7445,24100009                 ,HEX.HD.CAP SCREW              ,"5/16-18UNC X 1.500""           ",ZINC PLATED [GR.5]            ,B,2,24104326                 ,HEX.HD.CAP SCREW              ,M8-1.25 X 35MM                ,ZINC PLATED [CL8.8]           ,P
7446,24100009                 ,HEX.HD.CAP SCREW              ,"5/16-18UNC X 1.500""           ",ZINC PLATED [GR.5]            ,B,3,24106862                 ,HEX.HD.CAP SCREW              ,"5/16-18UNC X 1.500""           ",[SS.304]                      ,P
7447,24100009                 ,HEX.HD.CAP SCREW              ,"5/16-18UNC X 1.500""           ",ZINC PLATED [GR.5]            ,B,4,24104776                 ,HEX.HD.CAP SCREW              ,M8-1.25 X 35MM                ,[SS.304]                      ,P
