,ITEMNO,DESC1,DESC2,SEARCHTEXT,STOCKINGTYPE,TYPECONVERSION,ITEMCONVERTI,DESC1_1,DESC2_1,SEARCHTEXT_1,STOCKINGTYPE_1,MATERIAL_1,MATERIAL_2
1253,117661                   ,HEX.SOC.CAP SCREW             ,"#6-32UNC X 0.750""             ",[SS.304],P,2,24104563                 ,HEX.SOC.CAP SCREW             ,M4-0.70 X 20MM                ,[SS.304],P,SS304,SS304
1255,117661                   ,HEX.SOC.CAP SCREW             ,"#6-32UNC X 0.750""             ",[SS.304],P,4,119591                   ,HEX.SOC.CAP SCREW             ,M4-0.70 X 20MM                ,[SS.304],P,SS304,SS304
1257,117661                   ,HEX.SOC.CAP SCREW             ,"#6-32UNC X 0.750""             ",[SS.304],P,6,182695                   ,HEX.SOC.CAP SCREW             ,M4-0.70 X 20MM                ,[SS.304],P,SS304,SS304
1259,117662                   ,HEX.SOC.CAP SCREW             ,"#8-32UNC X 0.500""             ",[SS.304],P,2,24104667                 ,HEX.SOC.CAP SCREW             ,M4-0.70 X 12MM                ,[SS.304],P,SS304,SS304
1261,117662                   ,HEX.SOC.CAP SCREW             ,"#8-32UNC X 0.500""             ",[SS.304],P,4,24107418                 ,HEX.SOC.CAP SCREW             ,M4-0.70 X 12MM                ,[SS.304],P,SS304,SS304
1265,117663                   ,HEX.HD.CAP SCREW              ,"1/2-13UNC X 3.250""            ",[SS.304],P,2,24104684                 ,HEX.HD.CAP SCREW              ,M12-1.75 X 80MM               ,[SS.304],B,SS304,SS304
1267,117663                   ,HEX.HD.CAP SCREW              ,"1/2-13UNC X 3.250""            ",[SS.304],P,4,118484                   ,HEX.HD.CAP SCREW              ,M12-1.75 X 80MM               ,[SS.304],P,SS304,SS304
1269,117663                   ,HEX.HD.CAP SCREW              ,"1/2-13UNC X 3.250""            ",[SS.304],P,6,158738                   ,HEX.HD.CAP SCREW              ,M12-1.75 X 80MM               ,[SS.304],P,SS304,SS304
1271,117664                   ,HEX.HD.CAP SCREW              ,"5/16-18UNC X 3.500""           ",[SS.304],P,2,24104716                 ,HEX.HD.CAP SCREW              ,M8-1.25 X 90MM                ,[SS.304],P,SS304,SS304
1273,117664                   ,HEX.HD.CAP SCREW              ,"5/16-18UNC X 3.500""           ",[SS.304],P,4,24104775                 ,HEX.HD.CAP SCREW              ,M8-1.25 X 90MM                ,[SS.304],P,SS304,SS304
1279,117665                   ,HEX.HD.CAP SCREW              ,"5/8-11UNC X 5.000""            ",[SS.304],B,4,185566                   ,HEX.HD.CAP SCREW              ,M16-2.00 X 125MM              ,[SS.304],B,SS304,SS304
1283,117666                   ,HEX.HD.CAP SCREW              ,"5/8-11UNC X 1.500""            ",[SS.304],P,2,24104691                 ,HEX.HD.CAP SCREW              ,M16-2.00 X 35MM               ,[SS.304],P,SS304,SS304
1285,117666                   ,HEX.HD.CAP SCREW              ,"5/8-11UNC X 1.500""            ",[SS.304],P,4,107681                   ,HEX.HD.CAP SCREW              ,M16-2.00 X 35MM               ,[SS.304],B,SS304,SS304
1289,117667                   ,HEX.SOC.SET SCREW CUP POINT   ,"3/8-16UNC X 0.500""            ",[SS.304],P,2,107732                   ,HEX.SOC.SET SCREW CUP POINT   ,M10-1.50 X 12MM               ,[SS.304],B,SS304,SS304
1291,117667                   ,HEX.SOC.SET SCREW CUP POINT   ,"3/8-16UNC X 0.500""            ",[SS.304],P,4,118420                   ,HEX.SOC.SET SCREW CUP POINT   ,M10-1.50 X 12MM               ,[SS.304],P,SS304,SS304
1295,117668                   ,WASHER;SPRING LOCK            ,"0.625""                        ",[SS.304],B,2,24101717                 ,WASHER;SPRING LOCK            ,M16                           ,[SS.304],P,SS304,SS304
1297,117668                   ,WASHER;SPRING LOCK            ,"0.625""                        ",[SS.304],B,4,24105896                 ,WASHER;SPRING LOCK            ,M16                           ,[SS.304],B,SS304,SS304
1299,117668                   ,WASHER;SPRING LOCK            ,"0.625""                        ",[SS.304],B,6,182736                   ,WASHER;SPRING LOCK            ,M16                           ,[SS.304],P,SS304,SS304
1301,117669                   ,HEX.SOC.FH.CAP SCREW          ,"1/4-20UNC X 0.500""            ",[SS.304],B,2,24104262                 ,HEX.SOC.FH.CAP SCREW          ,M6-1.00 X 12MM                ,[SS.304],B,SS304,SS304
1303,117669                   ,HEX.SOC.FH.CAP SCREW          ,"1/4-20UNC X 0.500""            ",[SS.304],B,4,118414                   ,HEX.SOC.FH.CAP SCREW          ,M6-1.00 X 12MM                ,[SS.304],P,SS304,SS304
1307,117670                   ,HEX.HD.CAP SCREW              ,"5/8-11UNC X 1.000""            ",[SS.304],P,2,108101                   ,HEX.HD.CAP SCREW              ,M16-2.00 X 25MM               ,[SS.304],B,SS304,SS304
1309,117670                   ,HEX.HD.CAP SCREW              ,"5/8-11UNC X 1.000""            ",[SS.304],P,4,118416                   ,HEX.HD.CAP SCREW              ,M16-2.00 X 25MM               ,[SS.304],P,SS304,SS304
1313,117671                   ,HEX.SOC.CAP SCREW             ,"#10-24UNC X 3.500""            ",[SS.304],P,2,120890                   ,HEX.SOC.CAP SCREW             ,M5-0.80 X 90MM                ,[SS.304],P,SS304,SS304
1315,117671                   ,HEX.SOC.CAP SCREW             ,"#10-24UNC X 3.500""            ",[SS.304],P,4,120888                   ,HEX.SOC.CAP SCREW             ,M5-0.80 X 90MM                ,[SS.304],P,SS304,SS304
1319,117718                   ,HEX.SOC.BUT.HD.CAP SCREW      ,"5/16-18UNC X 0.750""           ",ZINC PLATED,P,2,117720                   ,HEX.SOC.BUT.HD.CAP SCREW      ,M8-1.25 X 20MM                ,ZINC PLATED,P,ZINC,ZINC
1321,117718                   ,HEX.SOC.BUT.HD.CAP SCREW      ,"5/16-18UNC X 0.750""           ",ZINC PLATED,P,4,185666                   ,HEX.SOC.BUT.HD.CAP SCREW      ,M8-1.25 X 20MM                ,ZINC PLATED,B,ZINC,ZINC
1331,117751                   ,HEX.SOC.BUT.HD.CAP SCREW      ,"5/16-18UNC X 1.000""           ",ZINC PLATED,P,2,117753                   ,HEX.SOC.BUT.HD.CAP SCREW      ,M8-1.25 X 25MM                ,ZINC PLATED,P,ZINC,ZINC
1337,117752                   ,HEX.SOC.BUT.HD.CAP SCREW      ,"5/16-18UNC X 1.000""           ",[SS.304],P,2,117753                   ,HEX.SOC.BUT.HD.CAP SCREW      ,M8-1.25 X 25MM                ,[SS.304],P,SS304,SS304
1367,117925                   ,HEX.SOC.FH.CAP SCREW          ,"#10-24UNC X 1.000""            ",[SS.304],B,2,24104669                 ,HEX.SOC.FH.CAP SCREW          ,M5-0.80 X 25MM                ,[SS.304],B,SS304,SS304
1369,117925                   ,HEX.SOC.FH.CAP SCREW          ,"#10-24UNC X 1.000""            ",[SS.304],B,4,119592                   ,HEX.SOC.FH.CAP SCREW          ,M5-0.80 X 25MM                ,[SS.304],P,SS304,SS304
1385,117985                   ,HEX.SOC.FH.CAP SCREW          ,"1/4-20UNC X 1.250""            ",[SS.304],P,2,24101472                 ,HEX.SOC.FH.CAP SCREW          ,M6-1.00 X 30MM                ,[SS.304],P,SS304,SS304
1389,117985                   ,HEX.SOC.FH.CAP SCREW          ,"1/4-20UNC X 1.250""            ",[SS.304],P,6,182711                   ,HEX.SOC.FH.CAP SCREW          ,M6-1.00 X 30MM                ,[SS.304],P,SS304,SS304
1393,117986                   ,HEX.SOC.CAP SCREW             ,"1/4-20UNC X 3.500""            ",[SS.304],P,4,24104793                 ,HEX.SOC.CAP SCREW             ,M6-1.00 X 90MM                ,[SS.304],P,SS304,SS304
1421,118092                   ,HEX.HD.CAP SCREW              ,"1/2-13UNC X 6.000""            ",[SS.304],P,2,24104515                 ,HEX.HD.CAP SCREW              ,M12-1.75 X 150MM              ,[SS.304],P,SS304,SS304
1423,118092                   ,HEX.HD.CAP SCREW              ,"1/2-13UNC X 6.000""            ",[SS.304],P,4,119751                   ,HEX.HD.CAP SCREW              ,M12-1.75 X 150MM              ,[SS.304],P,SS304,SS304
1439,118176                   ,HEX.HD.CAP SCREW              ,"3/8-16UNC X 4.250""            ",[SS.304],P,2,24104505                 ,HEX.HD.CAP SCREW              ,M10-1.50 X 110MM              ,[SS.304],P,SS304,SS304
1441,118176                   ,HEX.HD.CAP SCREW              ,"3/8-16UNC X 4.250""            ",[SS.304],P,4,118177                   ,HEX.HD.CAP SCREW              ,M10-1.50 X 110MM              ,[SS.304],P,SS304,SS304
1475,122986                   ,HEX.HD.CAP SCREW              ,"1/2-13UNC X 6.500""            ",[SS.304],P,6,158907                   ,HEX.HD.CAP SCREW              ,M12-1.75 X 165MM              ,[SS.304],P,SS304,SS304
1477,122990                   ,HEX.NYLON INSERT LOCKNUT      ,1-8UNC                        ,[SS.304],P,2,24104616                 ,HEX.NYLON INSERT LOCKNUT      ,M24-3.00                      ,[SS.304],B,SS304,SS304
1479,122990                   ,HEX.NYLON INSERT LOCKNUT      ,1-8UNC                        ,[SS.304],P,4,185659                   ,HEX.NYLON INSERT LOCKNUT      ,M24-3.00                      ,[SS.304],B,SS304,SS304
1489,122992                   ,HEX.SOC.FH.CAP SCREW          ,"1/4-20UNC X 2.250""            ",[SS.304],P,2,24104555                 ,HEX.SOC.FH.CAP SCREW          ,M6-1.00 X 60MM                ,[SS.304],P,SS304,SS304
1491,122992                   ,HEX.SOC.FH.CAP SCREW          ,"1/4-20UNC X 2.250""            ",[SS.304],P,4,209564                   ,HEX.SOC.FH.CAP SCREW          ,M6-1.00 X 60MM                ,[SS.304],P,SS304,SS304
1517,118596                   ,SCREW RD.HD.SQ.SOC.DRIVE      ,"1/4-20UNC X 1.000""            ",[SS.304],P,2,185818                   ,SCREW RD.HD.SQ.SOC.DRIVE      ,M6-1.00 X 25MM                ,[SS.304],B,SS304,SS304
1519,118596                   ,SCREW RD.HD.SQ.SOC.DRIVE      ,"1/4-20UNC X 1.000""            ",[SS.304],P,4,185817                   ,SCREW RD.HD.SQ.SOC.DRIVE      ,M6-1.00 X 25MM                ,[SS.304],B,SS304,SS304
1529,118620                   ,HEX.SOC.CAP SCREW             ,"1/4-20UNC X 4.000""            ",[SS.304],P,2,24102389                 ,HEX.SOC.CAP SCREW             ,M6-1.00 X 100MM               ,[SS.304],P,SS304,SS304
1531,118620                   ,HEX.SOC.CAP SCREW             ,"1/4-20UNC X 4.000""            ",[SS.304],P,4,185707                   ,HEX.SOC.CAP SCREW             ,M6-1.00 X 100MM               ,[SS.304],B,SS304,SS304
1535,118621                   ,WASHER;SPRING LOCK            ,"0.750""                        ",[SS.304],B,2,24104551                 ,WASHER;SPRING LOCK            ,M20                           ,[SS.304],P,SS304,SS304
1537,118621                   ,WASHER;SPRING LOCK            ,"0.750""                        ",[SS.304],B,4,24104848                 ,WASHER;SPRING LOCK            ,M20                           ,[SS.304],B,SS304,SS304
1539,118621                   ,WASHER;SPRING LOCK            ,"0.750""                        ",[SS.304],B,6,158784                   ,WASHER;SPRING LOCK            ,M20                           ,[SS.304],B,SS304,SS304
1553,118796                   ,HEX.SOC.CAP SCREW             ,"3/8-16UNC X 1.750""            ",[SS.304],P,2,113497                   ,HEX.SOC.CAP SCREW             ,M10-1.50 X 45MM               ,[SS.304],P,SS304,SS304
1555,118796                   ,HEX.SOC.CAP SCREW             ,"3/8-16UNC X 1.750""            ",[SS.304],P,4,118797                   ,HEX.SOC.CAP SCREW             ,M10-1.50 X 45MM               ,[SS.304],P,SS304,SS304
1601,118928                   ,THREADED ROD                  ,7/16-14UNC                    ,[SS.304],P,2,24105362                 ,THREADED ROD                  ,M10-1.50                      ,[SS.304],P,SS304,SS304
1607,118933                   ,HEX.HD.CAP SCREW              ,"#10-24UNC X 0.500""            ",[SS.304],P,2,24101262                 ,HEX.HD.CAP SCREW              ,M5-0.80 X 12MM                ,[SS.304],P,SS304,SS304
1609,118933                   ,HEX.HD.CAP SCREW              ,"#10-24UNC X 0.500""            ",[SS.304],P,4,24104781                 ,HEX.HD.CAP SCREW              ,M5-0.80 X 12MM                ,[SS.304],P,SS304,SS304
1615,119094                   ,HEX.HD.CAP SCREW              ,"#8-32UNC X 1.000""             ",ZINC PLATED,P,4,215862                   ,HEX.HD.CAP SCREW              ,M4-0.70 X 25MM                ,ZINC PLATED,B,ZINC,ZINC
1625,119168                   ,HEX.SOC.CAP SCREW             ,"3/8-16UNC X 2.000""            ",[SS.304],P,2,116105                   ,HEX.SOC.CAP SCREW             ,M10-1.50 X 50MM               ,[SS.304],P,SS304,SS304
1627,119168                   ,HEX.SOC.CAP SCREW             ,"3/8-16UNC X 2.000""            ",[SS.304],P,4,119167                   ,HEX.SOC.CAP SCREW             ,M10-1.50 X 50MM               ,[SS.304],P,SS304,SS304
1643,119176                   ,HEX.HD.CAP SCREW              ,"3/8-16UNC X 6.000""            ",[SS.304],P,2,185547                   ,HEX.HD.CAP SCREW              ,M10-1.50 X 150MM              ,[SS.304],B,SS304,SS304
1645,119176                   ,HEX.HD.CAP SCREW              ,"3/8-16UNC X 6.000""            ",[SS.304],P,4,185546                   ,HEX.HD.CAP SCREW              ,M10-1.50 X 150MM              ,[SS.304],B,SS304,SS304
1661,119179                   ,HEX.HD.CAP SCREW              ,"1/4-20UNC X 1.750""            ",[SS.304],P,2,24104497                 ,HEX.HD.CAP SCREW              ,M6-1.00 X 45MM                ,[SS.304],P,SS304,SS304
1663,119179                   ,HEX.HD.CAP SCREW              ,"1/4-20UNC X 1.750""            ",[SS.304],P,4,24104765                 ,HEX.HD.CAP SCREW              ,M6-1.00 X 45MM                ,[SS.304],P,SS304,SS304
1667,119180                   ,HEX.HD.CAP SCREW              ,"3/8-16UNC X 5.000""            ",[SS.304],P,2,185545                   ,HEX.HD.CAP SCREW              ,M10-1.50 X 125MM              ,[SS.304],O,SS304,SS304
1669,119180                   ,HEX.HD.CAP SCREW              ,"3/8-16UNC X 5.000""            ",[SS.304],P,4,185544                   ,HEX.HD.CAP SCREW              ,M10-1.50 X 125MM              ,[SS.304],O,SS304,SS304
1705,119590                   ,HEX.SOC.FH.CAP SCREW          ,"5/16-18UNC X 3.500""           ",[SS.304],P,4,119584                   ,HEX.SOC.FH.CAP SCREW          ,M8-1.25 X 90MM                ,[SS.304],B,SS304,SS304
1733,119795                   ,HEX.SOC.CAP SCREW             ,"#8-32UNC X 1.500""             ",[SS.304],P,2,24104733                 ,HEX.SOC.CAP SCREW             ,M4-0.70 X 35MM                ,[SS.304],P,SS304,SS304
1735,119795                   ,HEX.SOC.CAP SCREW             ,"#8-32UNC X 1.500""             ",[SS.304],P,4,24104821                 ,HEX.SOC.CAP SCREW             ,M4-0.70 X 35MM                ,[SS.304],P,SS304,SS304
1739,119800                   ,HEX.HD.CAP SCREW              ,"#8-32UNC X 0.500""             ",ZINC PLATED,P,2,315884                   ,HEX.HD.CAP SCREW              ,M4-0.70 X 12MM                ,ZINC PLATED,B,ZINC,ZINC
1745,119801                   ,HEX.HD.CAP SCREW              ,"#10-24UNC X 1.500""            ",ZINC PLATED,P,2,134296                   ,HEX.HD.CAP SCREW              ,M5-0.80 X 35MM                ,ZINC PLATED,P,ZINC,ZINC
1747,119801                   ,HEX.HD.CAP SCREW              ,"#10-24UNC X 1.500""            ",ZINC PLATED,P,4,185589                   ,HEX.HD.CAP SCREW              ,M5-0.80 X 35MM                ,ZINC PLATED,B,ZINC,ZINC
1793,121027                   ,HEX.HD.CAP SCREW              ,"1/2-13UNC X 2.000""            ",[SS.316],P,2,24101318                 ,HEX.HD.CAP SCREW              ,M12-1.75 X 50MM               ,[SS.316],B,SS316,SS316
1795,121027                   ,HEX.HD.CAP SCREW              ,"1/2-13UNC X 2.000""            ",[SS.316],P,4,24104924                 ,HEX.HD.CAP SCREW              ,M12-1.75 X 50MM               ,[SS.316],P,SS316,SS316
1797,121027                   ,HEX.HD.CAP SCREW              ,"1/2-13UNC X 2.000""            ",[SS.316],P,6,182647                   ,HEX.HD.CAP SCREW              ,M12-1.75 X 50MM               ,[SS.316],P,SS316,SS316
1799,121028                   ,HEX.NUT                       ,1/2-13UNC                     ,[SS.316],P,2,24109102                 ,HEX.NUT                       ,M12-1.75                      ,[SS.316],B,SS316,SS316
1801,121028                   ,HEX.NUT                       ,1/2-13UNC                     ,[SS.316],P,4,24104841                 ,HEX.NUT                       ,M12-1.75                      ,[SS.316],P,SS316,SS316
1803,121028                   ,HEX.NUT                       ,1/2-13UNC                     ,[SS.316],P,6,182682                   ,HEX.NUT                       ,M12-1.75                      ,[SS.316],P,SS316,SS316
1817,121739                   ,THREADED ROD                  ,1/2-20UNF                     ,[SS.304],P,2,24102478                 ,THREADED ROD                  ,M12-1.25                      ,[SS.304],P,SS304,SS304
1845,135629                   ,HEX.HD.CAP SCREW              ,"3/8-16UNC X 8.000""            ",[SS.304],P,2,24104001                 ,HEX.HD.CAP SCREW              ,M10-1.50 X 200MM              ,[SS.304],P,SS304,SS304
1847,135629                   ,HEX.HD.CAP SCREW              ,"3/8-16UNC X 8.000""            ",[SS.304],P,4,118481                   ,HEX.HD.CAP SCREW              ,M10-1.50 X 200MM              ,[SS.304],P,SS304,SS304
1851,135669                   ,WASHER;SPRING LOCK            ,#6                            ,[SS.304],B,2,24101221                 ,WASHER;SPRING LOCK            ,M4                            ,[SS.304],P,SS304,SS304
